Checking PR-14331 from smartlogtms/smartlog.stm.2.5 and branch feature/TMS-3877-sync-filter
Checking PR-14410 from smartlogtms/smartlog.stm.2.5 and branch feature/TMS-3894-report-owner-pl-bo-sung-tai-queue
Checking PR-14450 from smartlogtms/smartlog.stm.2.5 and branch feature/TMS-3982-bo-sung-bao-cao-do-dau-adsun-15
Checking PR-14048 from smartlogtms/smartlog.stm.2.5 and branch feature/TMS-3782-bo-sung-tinh-nang-hien-thi-theo-luot
Checking PR-14225 from smartlogtms/smartlog.stm.2.5 and branch feature/TMS-3889
Checking PR-14446 from smartlogtms/smartlog.stm.2.5 and branch bugfix/thp-order-eta
Checking PR-14441 from smartlogtms/smartlog.stm.2.5 and branch feature/TMS-3944
Checking PR-14437 from smartlogtms/smartlog.stm.2.5 and branch feature/TMS-3940-qdtrans
Checking PR-14394 from smartlogtms/smartlog.stm.2.5 and branch feature/TMS-3915-rang-buoc-thau-tach-chuyen
Checking PR-14393 from smartlogtms/smartlog.stm.2.5 and branch feature/TMS-3915-rang-buoc-thau-tach-chuyen
Checking PR-14364 from smartlogtms/smartlog.stm.2.5 and branch feature/TMS-3891-edit-master-time
Checking PR-14414 from smartlogtms/smartlog.stm.2.5 and branch bugfix/auto-sync-maint-mo
Checking PR-14257 from smartlogtms/smartlog.stm.2.5 and branch feature/TMS-3934-auto-province
Checking PR-14168 from smartlogtms/smartlog.stm.2.5 and branch feature/TMS-3755
Checking PR-14369 from smartlogtms/smartlog.stm.2.5 and branch bugfix/excel-xe-thau-them-moi
Checking PR-14286 from smartlogtms/smartlog.stm.2.5 and branch feature/TMS-3822-open-in-new-tab
Checking PR-14400 from smartlogtms/smartlog.stm.2.5 and branch feature/TMS-3135-chan-tinh-phi-thang
Checking PR-13995 from smartlogtms/smartlog.stm.2.5 and branch feature/TMS-3589-change-payment-method
Checking PR-14378 from smartlogtms/smartlog.stm.2.5 and branch feature/TMS-3899-new-contract-date
Checking PR-14247 from smartlogtms/smartlog.stm.2.5 and branch feature/TMS-3819-tick-all-hidden-grid-setting
Checking PR-13672 from smartlogtms/smartlog.stm.2.5 and branch feature/TMS-3468-bo-sung-popup-filter
Checking PR-14148 from smartlogtms/smartlog.stm.2.5 and branch feature/TMS-3750-romooc-gps-code
Checking PR-14271 from smartlogtms/smartlog.stm.2.5 and branch feature/TMS-3893-bo-sung-phan-quyen
Checking PR-14108 from smartlogtms/smartlog.stm.2.5 and branch feature/TMS-3878-mainetti
Checking PR-13680 from smartlogtms/smartlog.stm.2.5 and branch feature/TMS-3578
Checking PR-13827 from smartlogtms/smartlog.stm.2.5 and branch feature/TMS-3784
Checking PR-14208 from smartlogtms/smartlog.stm.2.5 and branch feature/TMS-3886-filter-status-master
Checking PR-14098 from smartlogtms/smartlog.stm.2.5 and branch feature/TMS-920-new-entity
Checking PR-13681 from smartlogtms/smartlog.stm.2.5 and branch feature/TMS-3615-fix-conflict
Checking PR-13733 from smartlogtms/smartlog.stm.2.5 and branch feature/TMS-3712-bo-sung-ngay-loc-bao-cao
Checking PR-13965 from smartlogtms/smartlog.stm.2.5 and branch feature/TMS-3667
Checking PR-13664 from smartlogtms/smartlog.stm.2.5 and branch feature/TMS-3528-fin-refresh
Checking PR-13666 from smartlogtms/smartlog.stm.2.5 and branch feature/TMS-3591
Checking PR-13661 from smartlogtms/smartlog.stm.2.5 and branch feature/update-apm-configuration

  34 pull requests were processed
Checking branch bugfix/TMS-1038 from smartlogtms/smartlog.stm.2.5
Checking branch bugfix/TMS-1043 from smartlogtms/smartlog.stm.2.5
Checking branch bugfix/TMS-1043-fix-require from smartlogtms/smartlog.stm.2.5
Checking branch bugfix/TMS-1261 from smartlogtms/smartlog.stm.2.5
Checking branch bugfix/TMS-1318 from smartlogtms/smartlog.stm.2.5
Checking branch bugfix/TMS-1337 from smartlogtms/smartlog.stm.2.5
Checking branch bugfix/TMS-1367-bo-dang-kiem from smartlogtms/smartlog.stm.2.5
Checking branch bugfix/TMS-1395 from smartlogtms/smartlog.stm.2.5
Checking branch bugfix/TMS-1427-fix-autoplan from smartlogtms/smartlog.stm.2.5
Checking branch bugfix/TMS-1427-fix-duyet-xe-moi from smartlogtms/smartlog.stm.2.5
Checking branch bugfix/TMS-1440-fix-cod-confirm-foodlog from smartlogtms/smartlog.stm.2.5
Checking branch bugfix/TMS-1449 from smartlogtms/smartlog.stm.2.5
Checking branch bugfix/TMS-1606-fix-report-16 from smartlogtms/smartlog.stm.2.5
Checking branch bugfix/TMS-1653 from smartlogtms/smartlog.stm.2.5
Checking branch bugfix/TMS-1694-unrequire-atd-ata from smartlogtms/smartlog.stm.2.5
Checking branch bugfix/TMS-1719-view-fuel-maintenance from smartlogtms/smartlog.stm.2.5
Checking branch bugfix/TMS-1985-ix from smartlogtms/smartlog.stm.2.5
Checking branch bugfix/TMS-2045 from smartlogtms/smartlog.stm.2.5
Checking branch bugfix/TMS-2051-fix-rule from smartlogtms/smartlog.stm.2.5
Checking branch bugfix/TMS-2079-fix-check-phan-quyen-diem from smartlogtms/smartlog.stm.2.5
Checking branch bugfix/TMS-2139 from smartlogtms/smartlog.stm.2.5
Checking branch bugfix/TMS-2184-fix-TotalPriceMaterial-04112022 from smartlogtms/smartlog.stm.2.5
Checking branch bugfix/TMS-2236 from smartlogtms/smartlog.stm.2.5
Checking branch bugfix/TMS-2272-geo-constraint from smartlogtms/smartlog.stm.2.5
Checking branch bugfix/TMS-2304-fuel-insurance-depreciation-period from smartlogtms/smartlog.stm.2.5
Checking branch bugfix/TMS-2340-wfl-fix from smartlogtms/smartlog.stm.2.5
Checking branch bugfix/TMS-2417-fix from smartlogtms/smartlog.stm.2.5
Checking branch bugfix/TMS-2428-bc-18-panda from smartlogtms/smartlog.stm.2.5
Checking branch bugfix/TMS-2524-fix-bug from smartlogtms/smartlog.stm.2.5
Checking branch bugfix/TMS-2528-custom-account-filter from smartlogtms/smartlog.stm.2.5
Checking branch bugfix/TMS-2555-popup-info-tab-group from smartlogtms/smartlog.stm.2.5
Checking branch bugfix/TMS-2563-fix-bug-month-bigger-12 from smartlogtms/smartlog.stm.2.5
Checking branch bugfix/TMS-2564-create-asset-timesheet-syscus-default-vehicle from smartlogtms/smartlog.stm.2.5
Checking branch bugfix/TMS-2569-grid-count-data-selected from smartlogtms/smartlog.stm.2.5
Checking branch bugfix/TMS-2569-grid-count-data-selected-1 from smartlogtms/smartlog.stm.2.5
Checking branch bugfix/TMS-2633-fix-load-data from smartlogtms/smartlog.stm.2.5
Checking branch bugfix/TMS-2670-unrequired-code-sagawa from smartlogtms/smartlog.stm.2.5
Checking branch bugfix/TMS-2677 from smartlogtms/smartlog.stm.2.5
Checking branch bugfix/TMS-2731-autoplan-fixbug from smartlogtms/smartlog.stm.2.5
Checking branch bugfix/TMS-2858-cont-trouble-reject from smartlogtms/smartlog.stm.2.5
Checking branch bugfix/TMS-2858-disable-button-approve from smartlogtms/smartlog.stm.2.5
Checking branch bugfix/TMS-2940 from smartlogtms/smartlog.stm.2.5
Checking branch bugfix/TMS-3008 from smartlogtms/smartlog.stm.2.5
Checking branch bugfix/TMS-3022-fix-filter-IsGetORDDetail from smartlogtms/smartlog.stm.2.5
Checking branch bugfix/TMS-3022-fix-get-data from smartlogtms/smartlog.stm.2.5
Checking branch bugfix/TMS-3026 from smartlogtms/smartlog.stm.2.5
Checking branch bugfix/TMS-3030-fix-query-lstCurrency-by-maxDateConfig from smartlogtms/smartlog.stm.2.5
Checking branch bugfix/TMS-3031-button-expand-expr-cus-contract-price-di-ex from smartlogtms/smartlog.stm.2.5
Checking branch bugfix/TMS-3062-fix-chuyen-chua-dang-tai from smartlogtms/smartlog.stm.2.5
Checking branch bugfix/TMS-3136-fixbug-qc-log from smartlogtms/smartlog.stm.2.5
Checking branch bugfix/TMS-3161 from smartlogtms/smartlog.stm.2.5
Checking branch bugfix/TMS-3226 from smartlogtms/smartlog.stm.2.5
Checking branch bugfix/TMS-3257 from smartlogtms/smartlog.stm.2.5
Checking branch bugfix/TMS-3278 from smartlogtms/smartlog.stm.2.5
Checking branch bugfix/TMS-3284-lost-cont-ops-to-mon-excel from smartlogtms/smartlog.stm.2.5
Checking branch bugfix/TMS-3326-update-location-opscont-&-cotocont from smartlogtms/smartlog.stm.2.5
Checking branch bugfix/TMS-3327-filter-grid-column-number from smartlogtms/smartlog.stm.2.5
Checking branch bugfix/TMS-3353 from smartlogtms/smartlog.stm.2.5
Checking branch bugfix/TMS-3373-update-file-pod-when-break-mooc from smartlogtms/smartlog.stm.2.5
Checking branch bugfix/TMS-3381-fix-check-length-bd-less-than-12 from smartlogtms/smartlog.stm.2.5
Checking branch bugfix/TMS-3382-wrong-driver-id from smartlogtms/smartlog.stm.2.5
Checking branch bugfix/TMS-3450-fix-FE from smartlogtms/smartlog.stm.2.5
Checking branch bugfix/TMS-3452-wrong-driver-id from smartlogtms/smartlog.stm.2.5
Checking branch bugfix/TMS-3497 from smartlogtms/smartlog.stm.2.5
Checking branch bugfix/TMS-3497-QuantityBBGN from smartlogtms/smartlog.stm.2.5
Checking branch bugfix/TMS-3717-fix-conflict from smartlogtms/smartlog.stm.2.5
Checking branch bugfix/TMS-3727 from smartlogtms/smartlog.stm.2.5
Checking branch bugfix/TMS-395 from smartlogtms/smartlog.stm.2.5
Checking branch bugfix/TMS-474 from smartlogtms/smartlog.stm.2.5
Checking branch bugfix/TMS-552 from smartlogtms/smartlog.stm.2.5
Checking branch bugfix/TMS-894-fix-round-num from smartlogtms/smartlog.stm.2.5
Checking branch bugfix/TMS-898-cost-center-cont from smartlogtms/smartlog.stm.2.5
Checking branch bugfix/TMS-898-fi-text from smartlogtms/smartlog.stm.2.5
Checking branch bugfix/TMS-898-fix-query from smartlogtms/smartlog.stm.2.5
Checking branch bugfix/TMS-959-fix-api from smartlogtms/smartlog.stm.2.5
Checking branch bugfix/TMSBUG-131 from smartlogtms/smartlog.stm.2.5
Checking branch bugfix/TMSBUG-234 from smartlogtms/smartlog.stm.2.5
Checking branch bugfix/TMSBUG-417 from smartlogtms/smartlog.stm.2.5
Checking branch bugfix/abbott-di-to-mon from smartlogtms/smartlog.stm.2.5
Checking branch bugfix/abbott-to-mon from smartlogtms/smartlog.stm.2.5
Checking branch bugfix/abboutt-baocaodonhang-20072022 from smartlogtms/smartlog.stm.2.5
Checking branch bugfix/ad-ord-cancel from smartlogtms/smartlog.stm.2.5
Checking branch bugfix/add-auth from smartlogtms/smartlog.stm.2.5
Checking branch bugfix/add-config-sabeco from smartlogtms/smartlog.stm.2.5
Checking branch bugfix/add-detail from smartlogtms/smartlog.stm.2.5
Checking branch bugfix/add-group-cod from smartlogtms/smartlog.stm.2.5
Checking branch bugfix/add-group-cod-new-stock from smartlogtms/smartlog.stm.2.5
Checking branch bugfix/add-group-codplan from smartlogtms/smartlog.stm.2.5
Checking branch bugfix/add-sum-total-column-product-ord-detail from smartlogtms/smartlog.stm.2.5
Checking branch bugfix/add-sum-total-product-fcllo-empty-&-laden from smartlogtms/smartlog.stm.2.5
Checking branch bugfix/api-dashboard-dock-vtmn from smartlogtms/smartlog.stm.2.5
Checking branch bugfix/api-foodlog-order from smartlogtms/smartlog.stm.2.5
Checking branch bugfix/api-foodlog-product from smartlogtms/smartlog.stm.2.5
Checking branch bugfix/api-foodlog-sap from smartlogtms/smartlog.stm.2.5
Checking branch bugfix/api-foodlog-sap-update from smartlogtms/smartlog.stm.2.5
Checking branch bugfix/api-gte from smartlogtms/smartlog.stm.2.5
Checking branch bugfix/api-order from smartlogtms/smartlog.stm.2.5
Checking branch bugfix/api-order-public from smartlogtms/smartlog.stm.2.5
Checking branch bugfix/api-order-sap-foodlog from smartlogtms/smartlog.stm.2.5
Checking branch bugfix/api-portal-km from smartlogtms/smartlog.stm.2.5
Checking branch bugfix/api-pvfc from smartlogtms/smartlog.stm.2.5
Checking branch bugfix/api-pvfcco from smartlogtms/smartlog.stm.2.5
Checking branch bugfix/api-pvfco from smartlogtms/smartlog.stm.2.5
Checking branch bugfix/api-pvm from smartlogtms/smartlog.stm.2.5
Checking branch bugfix/api-pvm-redelivery from smartlogtms/smartlog.stm.2.5
Checking branch bugfix/api-sabeco from smartlogtms/smartlog.stm.2.5
Checking branch bugfix/api-sabeco-cancel from smartlogtms/smartlog.stm.2.5
Checking branch bugfix/api-shipto from smartlogtms/smartlog.stm.2.5
Checking branch bugfix/api-shipto-v1 from smartlogtms/smartlog.stm.2.5
Checking branch bugfix/api-soldto from smartlogtms/smartlog.stm.2.5
Checking branch bugfix/api-soldto-setting from smartlogtms/smartlog.stm.2.5
Checking branch bugfix/api-thp from smartlogtms/smartlog.stm.2.5
Checking branch bugfix/api-thp-integration from smartlogtms/smartlog.stm.2.5
Checking branch bugfix/api-trip-sabeco from smartlogtms/smartlog.stm.2.5
Checking branch bugfix/api-trip-sabeco-bypass from smartlogtms/smartlog.stm.2.5
Checking branch bugfix/api-vinafco from smartlogtms/smartlog.stm.2.5
Checking branch bugfix/api-vinafco-order-complete from smartlogtms/smartlog.stm.2.5
Checking branch bugfix/auth-sys-province-user from smartlogtms/smartlog.stm.2.5
Checking branch bugfix/auto-approve from smartlogtms/smartlog.stm.2.5
Checking branch bugfix/auto-create-trip-log-slack from smartlogtms/smartlog.stm.2.5
Checking branch bugfix/auto-create-trip-vnpost from smartlogtms/smartlog.stm.2.5
Checking branch bugfix/auto-fix-route from smartlogtms/smartlog.stm.2.5
Checking branch bugfix/auto-plan-change-vendor from smartlogtms/smartlog.stm.2.5
Checking branch bugfix/auto-plan-config from smartlogtms/smartlog.stm.2.5
Checking branch bugfix/auto-plan-cont-total-ton from smartlogtms/smartlog.stm.2.5
Checking branch bugfix/auto-plan-edit-trip from smartlogtms/smartlog.stm.2.5
Checking branch bugfix/auto-plan-fix-group-vehicle from smartlogtms/smartlog.stm.2.5
Checking branch bugfix/auto-plan-location-detail from smartlogtms/smartlog.stm.2.5
Checking branch bugfix/auto-plan-mainetti-vendor from smartlogtms/smartlog.stm.2.5
Checking branch bugfix/auto-plan-panasonic-drop-dup from smartlogtms/smartlog.stm.2.5
Checking branch bugfix/auto-plan-station-depot from smartlogtms/smartlog.stm.2.5
Checking branch bugfix/auto-plan-stats from smartlogtms/smartlog.stm.2.5
Checking branch bugfix/auto-plan-unschedule-etd-eta from smartlogtms/smartlog.stm.2.5
Checking branch bugfix/auto-sync-maint-mo from smartlogtms/smartlog.stm.2.5
Checking branch bugfix/auto-tender-new from smartlogtms/smartlog.stm.2.5
Checking branch bugfix/autopacking from smartlogtms/smartlog.stm.2.5
Checking branch bugfix/bc-phieu-hoat-dong-1.1 from smartlogtms/smartlog.stm.2.5
Checking branch bugfix/bidding-flow from smartlogtms/smartlog.stm.2.5
Checking branch bugfix/break-mooc-qdtrans from smartlogtms/smartlog.stm.2.5
Checking branch bugfix/bug-auto-trip-vnpost from smartlogtms/smartlog.stm.2.5
Checking branch bugfix/bug-vnpost from smartlogtms/smartlog.stm.2.5
Checking branch bugfix/cancel-ord-cont from smartlogtms/smartlog.stm.2.5
Checking branch bugfix/cancel-vendor-conditions from smartlogtms/smartlog.stm.2.5
Checking branch bugfix/canh-bao-job-tinh-phi-thang-dx from smartlogtms/smartlog.stm.2.5
Checking branch bugfix/cant-change-vehicle-&-romooc from smartlogtms/smartlog.stm.2.5
Checking branch bugfix/cap-nhat-bang-gia-hd-khac from smartlogtms/smartlog.stm.2.5
Checking branch bugfix/catch-login from smartlogtms/smartlog.stm.2.5
Checking branch bugfix/catpacking-orderbyid from smartlogtms/smartlog.stm.2.5
Checking branch bugfix/cham-cong-bs-cot-danh-gia from smartlogtms/smartlog.stm.2.5
Checking branch bugfix/change-1mg-config from smartlogtms/smartlog.stm.2.5
Checking branch bugfix/change-driver from smartlogtms/smartlog.stm.2.5
Checking branch bugfix/change-driver-cont from smartlogtms/smartlog.stm.2.5
Checking branch bugfix/change-name-header-view-ord-lcl from smartlogtms/smartlog.stm.2.5
Checking branch bugfix/change-stock-delivery from smartlogtms/smartlog.stm.2.5
Checking branch bugfix/change-vendor-log from smartlogtms/smartlog.stm.2.5
Checking branch bugfix/check-auth-approve from smartlogtms/smartlog.stm.2.5
Checking branch bugfix/check-cut-off-time-before-delete-data-order from smartlogtms/smartlog.stm.2.5
Checking branch bugfix/check-data-input-combobox-reason-reject-trouble from smartlogtms/smartlog.stm.2.5
Checking branch bugfix/check-json from smartlogtms/smartlog.stm.2.5
Checking branch bugfix/check-order-to-master-cont-local from smartlogtms/smartlog.stm.2.5
Checking branch bugfix/check-pl-24-07 from smartlogtms/smartlog.stm.2.5
Checking branch bugfix/check-quantity-cbm-weight-view-create-order from smartlogtms/smartlog.stm.2.5
Checking branch bugfix/check-schedule-fee-driver from smartlogtms/smartlog.stm.2.5
Checking branch bugfix/check-swap-cont from smartlogtms/smartlog.stm.2.5
Checking branch bugfix/check-vehicle from smartlogtms/smartlog.stm.2.5
Checking branch bugfix/check-vehicle-available from smartlogtms/smartlog.stm.2.5
Checking branch bugfix/check-vehicle-weight-vendor from smartlogtms/smartlog.stm.2.5
Checking branch bugfix/clear-master-fin from smartlogtms/smartlog.stm.2.5
Checking branch bugfix/clear-trouble-master from smartlogtms/smartlog.stm.2.5
Checking branch bugfix/co-trouble-allocate from smartlogtms/smartlog.stm.2.5
Checking branch bugfix/co-trouble-auto-gen from smartlogtms/smartlog.stm.2.5
Checking branch bugfix/cod-group from smartlogtms/smartlog.stm.2.5
Checking branch bugfix/cod-refresh from smartlogtms/smartlog.stm.2.5
Checking branch bugfix/complete-trip from smartlogtms/smartlog.stm.2.5
Checking branch bugfix/config-is-auto-dock-schedule-for-vinhtuongmn from smartlogtms/smartlog.stm.2.5
Checking branch bugfix/config-sabeco from smartlogtms/smartlog.stm.2.5
Checking branch bugfix/config-vnpost from smartlogtms/smartlog.stm.2.5
Checking branch bugfix/cont-break from smartlogtms/smartlog.stm.2.5
Checking branch bugfix/cont-change-stock-load-&-unload from smartlogtms/smartlog.stm.2.5
Checking branch bugfix/cont-complete-step-8 from smartlogtms/smartlog.stm.2.5
Checking branch bugfix/cont-detail from smartlogtms/smartlog.stm.2.5
Checking branch bugfix/cont-driver-change from smartlogtms/smartlog.stm.2.5
Checking branch bugfix/cont-gen-coto from smartlogtms/smartlog.stm.2.5
Checking branch bugfix/cont-map from smartlogtms/smartlog.stm.2.5
Checking branch bugfix/cont-product-partner from smartlogtms/smartlog.stm.2.5
Checking branch bugfix/cont-remove-product from smartlogtms/smartlog.stm.2.5
Checking branch bugfix/cont-station-end-constraint from smartlogtms/smartlog.stm.2.5
Checking branch bugfix/cont-stock-unload-load from smartlogtms/smartlog.stm.2.5
Checking branch bugfix/cont-tendered-id from smartlogtms/smartlog.stm.2.5
Checking branch bugfix/cont-time-warning from smartlogtms/smartlog.stm.2.5
Checking branch bugfix/cont-uncomplete from smartlogtms/smartlog.stm.2.5
Checking branch bugfix/cont-uncomplete-logstep from smartlogtms/smartlog.stm.2.5
Checking branch bugfix/container-no-null from smartlogtms/smartlog.stm.2.5
Checking branch bugfix/controller-name from smartlogtms/smartlog.stm.2.5
Checking branch bugfix/convert-decimal from smartlogtms/smartlog.stm.2.5
Checking branch bugfix/coto-cont-status from smartlogtms/smartlog.stm.2.5
Checking branch bugfix/cotocont-dup from smartlogtms/smartlog.stm.2.5
Checking branch bugfix/create-vendor-trip from smartlogtms/smartlog.stm.2.5
Checking branch bugfix/data-change-log-mobile-driver-container from smartlogtms/smartlog.stm.2.5
Checking branch bugfix/data-collection from smartlogtms/smartlog.stm.2.5
Checking branch bugfix/default-InvoiceStatus-all from smartlogtms/smartlog.stm.2.5
Checking branch bugfix/default-allow-lockout-enabled-identity-user from smartlogtms/smartlog.stm.2.5
Checking branch bugfix/del-coto-cont from smartlogtms/smartlog.stm.2.5
Checking branch bugfix/delete-ActionConfig from smartlogtms/smartlog.stm.2.5
Checking branch bugfix/delete-cache from smartlogtms/smartlog.stm.2.5
Checking branch bugfix/delete-driver-vendor from smartlogtms/smartlog.stm.2.5
Checking branch bugfix/delete-repair-trip from smartlogtms/smartlog.stm.2.5
Checking branch bugfix/deploy-12-06 from smartlogtms/smartlog.stm.2.5
Checking branch bugfix/depot-return from smartlogtms/smartlog.stm.2.5
Checking branch bugfix/dhl-api from smartlogtms/smartlog.stm.2.5
Checking branch bugfix/dhl-round-kmgps from smartlogtms/smartlog.stm.2.5
Checking branch bugfix/di-coldtime from smartlogtms/smartlog.stm.2.5
Checking branch bugfix/di-complete from smartlogtms/smartlog.stm.2.5
Checking branch bugfix/dictionary-site from smartlogtms/smartlog.stm.2.5
Checking branch bugfix/distance-detail from smartlogtms/smartlog.stm.2.5
Checking branch bugfix/distance-radius from smartlogtms/smartlog.stm.2.5
Checking branch bugfix/dock-report from smartlogtms/smartlog.stm.2.5
Checking branch bugfix/dock-scheduling-register from smartlogtms/smartlog.stm.2.5
